subj_id,seed,date,computer,block,block_type,trial,cue_type,cue_validity,cue_dir,cue_pos_dy,target_loc,target_pos_dy,correct_response,cue_pos_y,target_pos_x,target_pos_y,response,rt,is_correct
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,0,word,invalid,right,0.194415335151,left,-0.0835637544079,left,12.8314121199,-368.860396766,-5.51520779092,left,510.075700935,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,1,arrow,valid,left,-1.26223840365,left,1.14960056558,left,-83.307734641,-358.649981972,75.8736373285,left,440.83734788,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,2,arrow,invalid,left,-0.0355419450089,right,0.971252947762,right,-2.34576837059,349.77056184,64.1026945523,right,397.847094107,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,3,word,valid,right,0.871054013887,right,-0.185015154154,right,57.4895649166,365.17662133,-12.2110001742,right,379.940463696,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,4,word,invalid,left,-1.21316542529,right,1.88777992417,right,-80.0689180689,350.910568546,124.593474995,right,323.488308582,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,5,word,valid,left,0.303369378879,left,0.304612692284,left,20.022379006,-330.624760499,20.1044376908,left,357.16883,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,6,arrow,invalid,left,-1.95662295796,right,0.251062473552,right,-129.137115225,331.98548356,16.5701232545,right,317.576300818,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,0,practice,7,word,valid,right,3.18944814192,right,-0.94308443632,right,210.503577367,355.232856769,-62.2435727971,right,319.356944878,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,9,arrow,valid,left,-0.410834245387,left,-0.297986932022,left,-27.1150601955,-374.97289398,-19.6671375134,left,398.664596956,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,10,arrow,invalid,left,0.671994502856,right,-2.10851089818,right,44.3516371885,376.692629442,-139.16171928,right,365.362098441,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,11,word,valid,right,1.04007171612,right,-0.56699857102,right,68.644733264,352.415791356,-37.4219056873,right,341.143991333,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,12,arrow,valid,left,-0.211801911091,left,-0.763503194582,left,-13.978926132,-376.260016255,-50.3912108424,left,350.155082066,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,13,arrow,valid,right,1.05767185744,right,-0.304353881579,right,69.806342591,318.022646783,-20.0873561842,right,334.667669609,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,14,word,valid,right,0.577839252448,right,-2.54074680772,right,38.1373906616,325.050410428,-167.68928931,right,448.166061193,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,15,word,invalid,left,0.493500173414,right,0.996445237162,right,32.5710114453,368.044737367,65.7653856527,right,444.942144211,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,16,word,valid,right,0.78291906512,right,1.88428664774,right,51.6726582979,320.963496602,124.362918751,right,345.736920368,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,17,word,valid,right,-0.391221902682,right,-0.543471323376,right,-25.820645577,322.331367204,-35.8691073428,right,304.82755322,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,18,arrow,valid,right,-0.183713996195,right,-1.10023099544,right,-12.1251237489,351.850419365,-72.6152456991,right,323.603860568,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,19,arrow,valid,right,0.536437557605,right,0.226841967673,right,35.4048788019,351.767741313,14.9715698664,right,373.333866708,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,20,arrow,valid,left,-0.0401555279801,left,1.01842555813,left,-2.65026484669,-373.80882748,67.2160868363,left,437.139701564,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,21,arrow,invalid,right,-0.900505435138,left,-0.646761307378,left,-59.4333587191,-333.769600912,-42.6862462869,left,538.47766621,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,22,arrow,invalid,left,1.35564736988,right,0.563070875388,right,89.4727264119,347.38459609,37.1626777756,right,307.974009309,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,23,word,invalid,left,-0.0162874959788,right,-0.64497465229,right,-1.0749747346,363.860354209,-42.5683270512,right,342.068402562,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,24,word,valid,left,0.283959908656,left,-2.01688638959,left,18.7413539713,-329.941872241,-133.114501713,left,366.844421718,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,25,word,valid,left,-0.970453980761,left,2.40829419063,left,-64.0499627303,-327.283019632,158.947416582,left,356.054927222,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,26,word,invalid,left,0.298737511743,right,0.677677475917,right,19.7166757751,345.136646931,44.7267134105,right,308.000576217,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,27,arrow,valid,left,-1.12163084389,left,-0.781479836296,left,-74.0276356969,-353.332057144,-51.5776691955,left,361.066210084,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,28,word,valid,left,-0.630144812247,left,1.92228636249,left,-41.5895576083,-381.732065258,126.870899925,left,373.570731375,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,29,arrow,valid,right,1.52502628493,right,-0.836978981892,right,100.651734806,319.052051268,-55.2406128049,right,413.33738761,1
MAR105,105,2015_Nov_17_1342,LL-Kramer,1,test,30,arrow,valid,left,0.633762504795,left,1.50329061391,left,41.8283253165,-328.411613883,99.2171805182,left,391.191844363,1
