subj_id,seed,date,computer,block,block_type,trial,cue_type,cue_validity,cue_dir,cue_pos_dy,target_loc,target_pos_dy,correct_response,cue_pos_y,target_pos_x,target_pos_y,response,rt,is_correct
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,0,word,invalid,right,-0.258696637782,left,0.181448972325,left,-17.0739780936,-336.940833283,11.9756321734,left,819.003508135,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,1,word,valid,right,0.755256109709,right,0.369660743588,right,49.8469032408,358.638666442,24.3976090768,right,376.866101637,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,2,word,valid,left,-0.206255722034,left,-0.0917779224302,left,-13.6128776542,-361.228530794,-6.05734288039,left,352.516836545,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,3,word,invalid,left,-0.756361460731,right,0.689853993418,right,-49.9198564082,368.306182267,45.5303635656,right,345.099802827,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,4,arrow,valid,right,-1.51076096192,right,0.418898841782,right,-99.7102234865,362.907009599,27.6473235576,right,346.07862588,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,5,arrow,invalid,right,-0.328396925687,left,0.714959930203,left,-21.6741970954,-358.759887468,47.1873553934,left,355.038474314,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,6,arrow,valid,left,-1.56133009967,left,0.571904255792,left,-103.047786578,-353.57791622,37.7456808823,left,331.653948582,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,0,practice,7,word,invalid,left,2.2992351004,right,-0.611335214619,right,151.749516626,374.708780232,-40.3481241649,right,389.212460257,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,9,word,invalid,right,1.28589338863,left,0.0558583899849,left,84.8689636497,-382.88050541,3.686653739,left,413.422808051,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,10,word,valid,left,-0.844492911193,left,-2.33819692638,left,-55.7365321387,-341.939613783,-154.320997141,left,371.833708894,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,11,word,invalid,right,-0.96778472005,left,-0.715031428608,left,-63.8737915233,-320.150123984,-47.1920742881,left,379.634845827,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,12,word,valid,left,-1.42947259578,left,-0.353840134651,left,-94.3451913213,-368.703974562,-23.353448887,left,347.272546845,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,13,word,valid,right,1.09357597503,right,1.71091818394,right,72.1760143522,330.66060157,112.92060014,right,371.872439282,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,14,arrow,valid,right,-1.1924748029,right,2.1884395743,right,-78.7033369911,382.892264711,144.437011904,right,372.129468422,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,15,word,valid,right,0.751447315331,right,-0.0148679245136,right,49.5955228118,366.953341271,-0.981283017895,right,372.120826098,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,16,word,invalid,right,-1.1902173677,left,1.70083005578,left,-78.5543462685,-353.281179595,112.254783681,left,379.977657984,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,17,arrow,invalid,right,-0.0369733013634,left,-1.74228391924,left,-2.44023788999,-332.30096193,-114.99073867,left,347.649608215,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,18,word,valid,right,0.183996022913,right,0.32294100624,right,12.1437375123,331.649894034,21.3141064118,right,300.589918566,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,19,arrow,invalid,left,1.59495055945,right,-0.861568752207,right,105.266736923,353.365226632,-56.8635376457,right,335.201782233,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,20,word,valid,right,0.501776861066,right,-0.11774177936,right,33.1172728304,346.463237765,-7.77095743775,right,360.448888678,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,21,word,invalid,right,0.626560411818,left,-0.0977988064029,left,41.35298718,-347.739561933,-6.45472122259,left,304.754878103,1
MAR104,104,2015_Nov_17_1317,LL-Jerry,1,test,22,arrow,invalid,left,0.846040278612,right,-0.913480302096,right,55.8386583884,374.986286394,-60.2896999383,right,339.32545071,1
