subj_id,seed,date,computer,block,block_type,trial,cue_type,cue_validity,cue_dir,cue_pos_dy,target_loc,target_pos_dy,correct_response,cue_pos_y,target_pos_x,target_pos_y,response,rt,is_correct
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,0,arrow,valid,right,1.83428492392,right,-0.688516976393,right,121.062804979,367.797879085,-45.4421204419,right,411.676850868,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,1,word,valid,left,-0.357866029483,left,1.71828228125,left,-23.6191579459,-371.233244542,113.406630563,left,343.474823516,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,2,arrow,valid,left,0.524871674387,left,-0.117191610725,left,34.6415305096,-317.235459188,-7.73464630783,left,342.933872947,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,3,arrow,valid,left,1.13754153947,left,-0.130452542274,left,75.0777416049,-380.608957912,-8.60986779006,left,248.093389207,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,4,arrow,valid,left,0.20366732531,left,1.45221992069,left,13.4420434705,-364.41482094,95.8465147653,left,348.884649575,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,5,word,invalid,left,1.6845178304,right,0.561505320501,right,111.178176806,326.436935247,37.0593511531,right,269.72085028,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,6,arrow,valid,left,0.158232203305,left,0.061014967972,left,10.4433254181,-370.78318857,4.02698788615,left,249.866362894,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,0,practice,7,arrow,valid,right,0.739163132673,right,0.299710005369,right,48.7847667564,320.13164629,19.7808603543,right,350.706596626,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,1,test,9,arrow,valid,left,-0.61418411433,left,-0.5725005771,left,-40.5361515458,-379.212501736,-37.7850380886,left,274.643500568,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,1,test,10,word,invalid,right,-0.930947515078,left,-2.43305373925,left,-61.4425359951,-330.315022035,-160.581546791,left,292.250002269,1
MAR107,107,2015_Nov_17_1343,LL-ELAINE,1,test,11,arrow,invalid,right,0.741988717598,left,-0.571299504672,left,48.9712553614,-320.63871999,-37.7057673084,left,359.266099753,1
