subj_id,seed,date,computer,block,block_type,trial,cue_type,cue_validity,cue_dir,cue_pos_dy,target_loc,target_pos_dy,correct_response,cue_pos_y,target_pos_x,target_pos_y,response,rt,is_correct
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,0,arrow,valid,left,0.120902874019,left,0.278888957377,left,7.97958968527,-371.655624224,18.4066711869,left,465.592340915,1
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,1,word,valid,right,-0.785811580469,right,-0.122728417467,right,-51.863564311,320.763160479,-8.10007555281,right,645.55220172,1
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,2,arrow,valid,right,0.482842702275,right,1.03306453463,right,31.8676183502,346.922417274,68.1822592853,right,498.675151204,1
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,3,word,valid,right,0.337641092043,right,1.40569212158,right,22.2843120748,360.732233168,92.775680024,left,1284.82137428,0
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,4,word,valid,right,-0.0498897325272,right,-0.855232583104,right,-3.2927223468,369.351747768,-56.4453504849,right,460.167790763,1
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,5,word,valid,left,-1.53714379158,left,0.519589953064,left,-101.451490244,-319.867998448,34.2929369022,left,481.414025708,1
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,6,word,valid,left,0.577599281311,left,2.00517017045,left,38.1215525665,-363.272955124,132.34123125,left,477.289037255,1
MAR106,106,2015_Nov_17_1342,LL-George,0,practice,7,arrow,valid,right,-0.114598828933,right,1.80483070256,right,-7.56352270958,374.590562764,119.118826369,right,320.62750269,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,9,arrow,invalid,left,0.248205417774,right,1.20721158571,right,16.3815575731,362.71608017,79.6759646568,right,507.587072207,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,10,arrow,valid,right,1.06079354607,right,-1.18415979586,right,70.0123740406,339.845289277,-78.1545465267,right,422.142804542,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,11,word,valid,right,-0.473067247488,right,0.651314035246,right,-31.2224383342,350.033474817,42.9867263262,right,498.252633552,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,12,arrow,invalid,left,-0.368892741714,right,-1.33659790574,right,-24.3469209531,357.159615812,-88.2154617787,right,545.1117591,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,13,arrow,valid,left,-0.111140476689,left,1.11856736761,left,-7.33527146146,-338.595650436,73.8254462622,left,387.841415068,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,14,word,invalid,right,-1.05305672045,left,-0.855401361313,left,-69.5017435496,-327.459385566,-56.4564898467,left,621.654988732,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,15,word,valid,left,-0.393537512201,left,0.323979746183,left,-25.9734758053,-344.849081224,21.3826632481,left,883.419063874,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,16,word,valid,right,-1.59839935588,right,-1.60557534694,right,-105.494357488,330.719342174,-105.967972898,right,454.578714736,1
MAR106,106,2015_Nov_17_1342,LL-George,1,test,17,arrow,valid,left,1.67573899035,left,1.29471092078,left,110.598773363,-330.070434517,85.4509207714,left,387.370243901,1
